TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_27445,BRANCH;EXCEPTION,0.5909090909090909,13,4
com.example.task_evaluated.task_14809,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_33866,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_6873,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_2287,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_17843,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_13623,BRANCH;EXCEPTION,1.0,13,13
com.example.task_evaluated.task_29947,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_16675,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_15929,BRANCH;EXCEPTION,0.9285714285714286,9,8
com.example.task_evaluated.task_7724,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_22965,BRANCH;EXCEPTION,0.85,13,10
com.example.task_evaluated.task_16922,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_17124,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18330,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13782,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_33611,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_15888,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_17847,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_35589,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_1524,BRANCH;EXCEPTION,1.0,14,14
com.example.task_evaluated.task_15830,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_32749,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14566,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_17321,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14012,BRANCH;EXCEPTION,1.0,13,13
